"","geometry.type","geometry.coordinates.1","geometry.coordinates.2","properties.geopin","properties.objectid","properties.shape_area","properties.shape_leng","properties.situs_dir","properties.situs_num","properties.situs_str","properties.situs_type","type"
"117","MultiPolygon",-90.0681482600967,29.9663090300427,"41018963","14","12803.2006356","576.616004417","","1418","GOVERNOR NICHOLLS","ST","Feature"
"118","MultiPolygon",-90.0683859275967,29.9664769721387,"41018963","14","12803.2006356","576.616004417","","1418","GOVERNOR NICHOLLS","ST","Feature"
"119","MultiPolygon",-90.0683371413335,29.9665308887922,"41018963","14","12803.2006356","576.616004417","","1418","GOVERNOR NICHOLLS","ST","Feature"
"120","MultiPolygon",-90.0682439248998,29.9664649802735,"41018963","14","12803.2006356","576.616004417","","1418","GOVERNOR NICHOLLS","ST","Feature"
"121","MultiPolygon",-90.0678007316858,29.9667082679561,"41018963","14","12803.2006356","576.616004417","","1418","GOVERNOR NICHOLLS","ST","Feature"
"122","MultiPolygon",-90.0676529136122,29.9665886975727,"41018963","14","12803.2006356","576.616004417","","1418","GOVERNOR NICHOLLS","ST","Feature"
"123","MultiPolygon",-90.066289958862,29.9648577421792,"41019039","15","61709.5511339","1045.67662381","","1136","TREME","ST","Feature"
"124","MultiPolygon",-90.066407232318,29.9647250950475,"41019039","15","61709.5511339","1045.67662381","","1136","TREME","ST","Feature"
"125","MultiPolygon",-90.0665061413815,29.9647948106135,"41019039","15","61709.5511339","1045.67662381","","1136","TREME","ST","Feature"
"126","MultiPolygon",-90.0666043398242,29.9648638941124,"41019039","15","61709.5511339","1045.67662381","","1136","TREME","ST","Feature"
"127","MultiPolygon",-90.0667032412229,29.9649342349549,"41019039","15","61709.5511339","1045.67662381","","1136","TREME","ST","Feature"
"128","MultiPolygon",-90.0668021502918,29.9650039506444,"41019039","15","61709.5511339","1045.67662381","","1136","TREME","ST","Feature"
"129","MultiPolygon",-90.066682692028,29.9651390776934,"41019039","15","61709.5511339","1045.67662381","","1136","TREME","ST","Feature"
"130","MultiPolygon",-90.0667161296393,29.9651631545411,"41019039","15","61709.5511339","1045.67662381","","1136","TREME","ST","Feature"
"131","MultiPolygon",-90.0667460179069,29.9651840711151,"41019039","15","61709.5511339","1045.67662381","","1136","TREME","ST","Feature"
"132","MultiPolygon",-90.0668128936151,29.9652322244214,"41019039","15","61709.5511339","1045.67662381","","1136","TREME","ST","Feature"
"133","MultiPolygon",-90.0669416680124,29.9653247314286,"41019039","15","61709.5511339","1045.67662381","","1136","TREME","ST","Feature"
"134","MultiPolygon",-90.0668491428224,29.9654307371445,"41019039","15","61709.5511339","1045.67662381","","1136","TREME","ST","Feature"
"135","MultiPolygon",-90.0668068878639,29.9654790900969,"41019039","15","61709.5511339","1045.67662381","","1136","TREME","ST","Feature"
"136","MultiPolygon",-90.0665621394356,29.9657561649561,"41019039","15","61709.5511339","1045.67662381","","1136","TREME","ST","Feature"
"137","MultiPolygon",-90.0663068640265,29.9655617947173,"41019039","15","61709.5511339","1045.67662381","","1136","TREME","ST","Feature"
"138","MultiPolygon",-90.065924291076,29.9652718034988,"41019039","15","61709.5511339","1045.67662381","","1136","TREME","ST","Feature"
"139","MultiPolygon",-90.0661129553757,29.9650579529827,"41019039","15","61709.5511339","1045.67662381","","1136","TREME","ST","Feature"
"140","MultiPolygon",-90.066287047624,29.9648608399014,"41019039","15","61709.5511339","1045.67662381","","1136","TREME","ST","Feature"
"141","MultiPolygon",-90.066289958862,29.9648577421792,"41019039","15","61709.5511339","1045.67662381","","1136","TREME","ST","Feature"
"142","MultiPolygon",-90.0704893027166,29.9584412030027,"41019134","16","14547.5337649","483.814990765","N","401","RAMPART","ST","Feature"
"143","MultiPolygon",-90.0706174480975,29.9582992788491,"41019134","16","14547.5337649","483.814990765","N","401","RAMPART","ST","Feature"
"144","MultiPolygon",-90.0709456855517,29.9585137196116,"41019134","16","14547.5337649","483.814990765","N","401","RAMPART","ST","Feature"
"145","MultiPolygon",-90.0708117023106,29.9586630895245,"41019134","16","14547.5337649","483.814990765","N","401","RAMPART","ST","Feature"
"146","MultiPolygon",-90.0707359659219,29.958748004631,"41019134","16","14547.5337649","483.814990765","N","401","RAMPART","ST","Feature"
"147","MultiPolygon",-90.0707250487999,29.9587597773923,"41019134","16","14547.5337649","483.814990765","N","401","RAMPART","ST","Feature"
"148","MultiPolygon",-90.0704026569982,29.9585372655864,"41019134","16","14547.5337649","483.814990765","N","401","RAMPART","ST","Feature"
"149","MultiPolygon",-90.0704113968739,29.9585273474075,"41019134","16","14547.5337649","483.814990765","N","401","RAMPART","ST","Feature"
"150","MultiPolygon",-90.0704893027166,29.9584412030027,"41019134","16","14547.5337649","483.814990765","N","401","RAMPART","ST","Feature"
"151","MultiPolygon",-90.0882031081219,29.9775068282063,"41019271","17","19398.2298681","581.253793952","","924","MOSS","ST","Feature"
